WilsonReederName;MeanCerebellum;MeanCerebrum;MeanCrus;MeanROC
Aotus_trivirgatus;3,21125406761787;4,06987775615156;2,33545790068938;3,14921911265538
Ateles_paniscus;3,94954291181742;4,88863433783903;NA;NA
Callithrix_penicillata;2,68564378743553;3,59527250773808;NA;NA
Cebus_apella;3,71521272393901;4,55972109608638;3,00518051250378;3,62102478964893
Cebus_capucinus;3,63088167310477;4,60261044142393;NA;NA
Cercocebus_atys;3,72936175274789;4,71339849121788;NA;NA
Cercopithecus_cephus_cephus;3,56788432371292;4,61844452014806;NA;NA
Chlorocebus_sabaeus;3,62003361365398;4,72938388200814;2,70329137811866;3,56395742038335
Colobus_polykomos;3,76245989324424;4,60711589150382;2,92531209149965;3,69417379840437
Daubentonia_madagascariensis;3,48179254733868;4,23429266152670;2,57287160220048;3,42462724010447
Eulemur_mongoz;3,50833540568804;4,16123296627756;NA;NA
Galago_demidoff;2,50591271640983;3,28447658547623;NA;NA
Gorilla_beringei_graueri;4,66429541819072;5,43601611761465;NA;NA
Gorilla_gorilla_gorilla;4,76642897720895;5,37601031115903;4,11750329942923;4,65605188505653
Homo_sapiens;5,16518198272995;6,00296808494401;4,64283731923329;5,01005092933769
Hylobates_lar;3,93858429556260;4,78308462701674;NA;NA
Lagothrix_lagotricha;3,74781828311411;4,69359413059449;2,94138718875374;3,67407855679619
Lemur_catta;3,30861109504145;4,10235567626185;NA;NA
Lepilemur_ruficaudatus;2,94560704981716;3,61143639073512;NA;NA
Lophocebus_albigena;3,80074853277651;4,69183226187139;NA;NA
Loris_tardigradus;2,64997341539081;3,48729552542898;NA;NA
Macaca_fascicularis;3,78537614879286;4,67618089945424;2,84385542262316;3,45484962198330
Macaca_mulatta;3,96308282631293;4,83706384549249;2,69897000433602;3,49505409213379
Microcebus_murinus;2,23016941404795;2,90811588813984;NA;NA
Mirza_coquereli;2,94638497358331;3,58937205484134;NA;NA
Pan_paniscus;4,68492053465348;5,38566991077078;3,82131697059110;4,62098276348767
Pan_troglodytes_troglodytes;4,71967372519859;5,45301823327982;4,19420280849951;4,56587797696539
Papio_hamadryas;3,97673036838715;4,95357211567582;3,26505378850401;3,88293974845596
Pongo_pygmaeus;4,41090088159110;5,26589819448745;3,78397500341267;4,29394414933196
Saguinus_oedipus;2,87509022187714;3,79618754499814;NA;NA
Saimiri_sciureus;2,96379520320822;3,93143784391196;2,01283722470517;2,89205980205887
Semnopithecus_entellus;3,82921127434163;4,69823831461623;NA;NA
Trachypithecus_(Trachypithecus)_germaini;3,57473465419517;4,57964165090012;NA;NA
Varecia_variegata_variegata;3,52852346022257;4,20499828592285;NA;NA
