WilsonReederName;MeanCerebellum;MeanCerebrum;MeanCrus;MeanROC
Aotus_trivirgatus;1626,5000000000;11745,668950000;216,5000000000;1410,0000000000
Ateles_paniscus;8903,1340385000;77381,000000000;NA;NA
Callithrix_penicillata;484,8906250000;3937,970947000;NA;NA
Cebus_apella;5190,5421720000;36284,496090000;1012,0000000000;4178,5421720000
Cebus_capucinus;4274,4640920000;40050,730470000;NA;NA
Cercocebus_atys;5362,4314410000;51689,042970000;NA;NA
Cercopithecus_cephus_cephus;3697,2968750000;41537,898440000;NA;NA
Chlorocebus_sabaeus;4169,0164970000;53627,046880000;505,0000000000;3664,0164970000
Colobus_polykomos;5787,0854260000;40468,386720000;842,0000000000;4945,0854260000
Daubentonia_madagascariensis;3032,4423090000;17151,126950000;374,0000000000;2658,4423090000
Eulemur_mongoz;3223,5573840000;14495,492190000;NA;NA
Galago_demidoff;320,5625000000;1925,203247000;NA;NA
Gorilla_beringei_graueri;46163,1481300000;272907,906300000;NA;NA
Gorilla_gorilla_gorilla;58402,1690700000;237689,671900000;13107,0000000000;45295,1690700000
Homo_sapiens;146279,0000000000;1006857,675050000;43937,7000000000;102341,3000000000
Hylobates_lar;8681,2906280000;60685,457030000;NA;NA
Lagothrix_lagotricha;5595,2343750000;49384,894530000;873,7500000000;4721,4843750000
Lemur_catta;2035,2187500000;12657,725590000;NA;NA
Lepilemur_ruficaudatus;882,2812500000;4087,298828000;NA;NA
Lophocebus_albigena;6320,4577530000;49184,953130000;NA;NA
Loris_tardigradus;446,6562500000;3071,111084000;NA;NA
Macaca_fascicularis;6100,6505473750;47443,956545000;698,0000000000;2850,0312500000
Macaca_mulatta;9185,0775265000;68716,945315000;500,0000000000;3126,4687500000
Microcebus_murinus;169,8906250000;809,311829000;NA;NA
Mirza_coquereli;883,8630399000;3884,830322000;NA;NA
Pan_paniscus;48408,3783900000;243035,609400000;6627,0000000000;41781,3783900000
Pan_troglodytes_troglodytes;52441,3333333333;283803,817722222;15638,7777777778;36802,5555555556
Papio_hamadryas;9478,2982070000;89861,179690000;1841,0000000000;7637,2982070000
Pongo_pygmaeus;25757,3323400000;184458,296900000;6081,0000000000;19676,3323400000
Saguinus_oedipus;750,0500112000;6254,427246000;NA;NA
Saimiri_sciureus;920,0156250000;8539,606201000;103,0000000000;779,9375000000
Semnopithecus_entellus;6748,5625000000;49915,832030000;NA;NA
Trachypithecus_(Trachypithecus)_germaini;3756,0784480000;37987,582030000;NA;NA
Varecia_variegata_variegata;3376,9409010000;16032,390630000;NA;NA
