WilsonReederName;Hominoidea;Clade;MedianCerebellum;MedianCerebrum;MedianCrus;MedianROC;Body mass species mean;MedianCerebroCerebellar;MedianCerebellarCrus;MedianROCCrus;MedianCerebellarMass;MedianCerebralMass;MedianCrusMass
Aotus_trivirgatus;Nonape;Cebidae;1626,5000000;11745,668950;216,50;1410,000000;0,989;13,84765743802102;13,31079003996311;15,3546099290780;1644,590495449949;11876,30834175935;218,9079878665318
Ateles_paniscus;Nonape;Atelidae;8903,1340385;77381,000000;NA;NA;8,280;11,50558152324214;NA;NA;1075,257734118358;9345,53140096619;NA
Callithrix_penicillata;Nonape;Cebidae;484,8906250;3937,970947;NA;NA;0,328;12,31320981099153;NA;NA;1478,325076219512;12006,00898475610;NA
Cebus_apella;Nonape;Cebidae;5190,5421720;36284,496090;1012,00;4178,542172;2,936;14,30512403734473;19,49699985984431;24,2189729897023;1767,895835149864;12358,47959468665;344,6866485013624
Cebus_capucinus;Nonape;Cebidae;4274,4640920;40050,730470;NA;NA;2,861;10,67262454851301;NA;NA;1494,045470814400;13998,85720727018;NA
Cercocebus_atys;Nonape;Papionini;5362,4314410;51689,042970;NA;NA;8,600;10,37440651418584;NA;NA;623,538539651163;6010,35383372093;NA
Cercopithecus_cephus_cephus;Nonape;Cercopithecini;3697,2968750;41537,898440;NA;NA;3,585;8,90102054715313;NA;NA;1031,324093444909;11586,58254951186;NA
Chlorocebus_sabaeus;Nonape;Cercopithecini;4169,0164970;53627,046880;505,00;3664,016497;4,312;7,77409299887221;12,11316866612054;13,7826890357475;966,840560528757;12436,69918367347;117,1150278293135
Colobus_polykomos;Nonape;Colobinae;5787,0854260;40468,386720;842,00;4945,085426;9,100;14,30026224183517;14,54963834155781;17,0270061579316;635,943453406593;4447,07546373626;92,5274725274725
Daubentonia_madagascariensis;Nonape;Lemuriformes;3032,4423090;17151,126950;374,00;2658,442309;2,555;17,68071752859365;12,33329316406131;14,0683887979756;1186,865874363992;6712,76984344423;146,3796477495108
Eulemur_mongoz;Nonape;Lemuriformes;3223,5573840;14495,492190;NA;NA;1,212;22,23834376747714;NA;NA;2659,700811881188;11959,97705445545;NA
