WilsonReederName;Hominoidea;Clade;MedianCerebellum;MedianCerebrum;MedianCrus;MedianROC;MedianCerebroCerebellar;MedianCerebellarCrus;MedianROCCrus
Aotus_trivirgatus;Nonape;Cebidae;1626,5000000;11745,668950;216,50;1410,000000;13,84765743802102;13,3107900399631;15,3546099290780
Ateles_paniscus;Nonape;Atelidae;8903,1340385;77381,000000;NA;NA;11,50558152324214;NA;NA
Callithrix_penicillata;Nonape;Cebidae;484,8906250;3937,970947;NA;NA;12,31320981099153;NA;NA
Cebus_apella;Nonape;Cebidae;5190,5421720;36284,496090;1012,00;4178,542172;14,30512403734473;19,4969998598443;24,2189729897023
Cebus_capucinus;Nonape;Cebidae;4274,4640920;40050,730470;NA;NA;10,67262454851301;NA;NA
Cercocebus_atys;Nonape;Papionini;5362,4314410;51689,042970;NA;NA;10,37440651418584;NA;NA
Cercopithecus_cephus_cephus;Nonape;Cercopithecini;3697,2968750;41537,898440;NA;NA;8,90102054715313;NA;NA
Chlorocebus_sabaeus;Nonape;Cercopithecini;4169,0164970;53627,046880;505,00;3664,016497;7,77409299887221;12,1131686661205;13,7826890357475
Colobus_polykomos;Nonape;Colobinae;5787,0854260;40468,386720;842,00;4945,085426;14,30026224183517;14,5496383415578;17,0270061579316
Daubentonia_madagascariensis;Nonape;Lemuriformes;3032,4423090;17151,126950;374,00;2658,442309;17,68071752859365;12,3332931640613;14,0683887979756
Eulemur_mongoz;Nonape;Lemuriformes;3223,5573840;14495,492190;NA;NA;22,23834376747714;NA;NA
Galago_demidoff;Nonape;Galagonidae;320,5625000;1925,203247;NA;NA;16,65083935940401;NA;NA
Gorilla_beringei_graueri;Ape;Hominoidea;46163,1481300;272907,906300;NA;NA;16,91528426415545;NA;NA
Gorilla_gorilla_gorilla;Ape;Hominoidea;58402,1690700;237689,671900;13107,00;45295,169070;24,57076430925899;22,4426595941841;28,9368607494194
Homo_sapiens;Ape;Hominoidea;142171,0000000;1005711,437750;43726,00;101300,500000;14,13636105382953;30,7559206870600;43,1646438072862
Hylobates_lar;Ape;Hominoidea;8681,2906280;60685,457030;NA;NA;14,30538889030429;NA;NA
Lagothrix_lagotricha;Nonape;Atelidae;5595,2343750;49384,894530;873,75;4721,484375;11,32984980174666;15,6159678297658;18,5058327128320
Lemur_catta;Nonape;Lemuriformes;2035,2187500;12657,725590;NA;NA;16,07886610852021;NA;NA
Lepilemur_ruficaudatus;Nonape;Lemuriformes;882,2812500;4087,298828;NA;NA;21,58592476664395;NA;NA
Lophocebus_albigena;Nonape;Papionini;6320,4577530;49184,953130;NA;NA;12,85038889087582;NA;NA
Loris_tardigradus;Nonape;Loridae;446,6562500;3071,111084;NA;NA;14,54379987513340;NA;NA
Macaca_fascicularis;Nonape;Papionini;6636,5000000;46343,593750;NA;NA;14,32021011534091;NA;NA
Macaca_mulatta;Nonape;Papionini;10652,1237300;77682,492190;NA;NA;13,71238670348843;NA;NA
Microcebus_murinus;Nonape;Lemuriformes;169,8906250;809,311829;NA;NA;20,99198589620516;NA;NA
Mirza_coquereli;Nonape;Lemuriformes;883,8630399;3884,830322;NA;NA;22,75165107970448;NA;NA
Pan_paniscus;Ape;Hominoidea;48408,3783900;243035,609400;6627,00;41781,378390;19,91822453899218;13,6897789605962;15,8611330103607
Pan_troglodytes_troglodytes;Ape;Hominoidea;57047,0000000;284481,750000;15544,00;40053,000000;20,05295594532866;27,2477080302207;38,8085786333109
Papio_hamadryas;Nonape;Papionini;9478,2982070;89861,179690;1841,00;7637,298207;10,54771174794044;19,4233179817065;24,1053832140877
Pongo_pygmaeus;Ape;Hominoidea;25757,3323400;184458,296900;6081,00;19676,332340;13,96377000811396;23,6088113463384;30,9051498771341
Saguinus_oedipus;Nonape;Cebidae;750,0500112;6254,427246;NA;NA;11,99230531748038;NA;NA
Saimiri_sciureus;Nonape;Cebidae;920,0156250;8539,606201;103,00;779,937500;10,77351347761522;11,1954620335932;13,2061863931405
Semnopithecus_entellus;Nonape;Colobinae;6748,5625000;49915,832030;NA;NA;13,51988382352123;NA;NA
Trachypithecus_(Trachypithecus)_germaini;Nonape;Colobinae;3756,0784480;37987,582030;NA;NA;9,88764813994664;NA;NA
Varecia_variegata_variegata;Nonape;Lemuriformes;3376,9409010;16032,390630;NA;NA;21,06323990560103;NA;NA
