WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;SurfaceArea;CerebralVol;AbsGI;FoldingLength;FoldingNumber;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;BodyMass;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;ROC;ROCCrus
Cebus_apella;Tufted capuchin;ApelleCebusApell_f4b9;Tufted_capuchin;Nonape;Cebidae;5190,5421720;13956,472660;36284,496090;2,633161;1057,996338;37;14,9051;5,7388700;1012,00;NA;NA;1012,00;2,936;14,30512403734473;19,4969998598443;1767,895835149864;12358,47959468665;344,6866485013624;4178,542172;24,2189729897023
Ateles_paniscus;Black spider monkey;Atele_6717;Red-faced_spider_monkey;Nonape;Atelidae;9854,5490190;25067,337890;84765,648440;2,686236;1924,591553;85;14,1146;5,9674700;NA;NA;NA;NA;8,280;11,62563986751707;NA;1190,162925000000;10237,39715458937;NA;NA;NA
Ateles_paniscus;Black spider monkey;AteleAtelesAter_7245;Red-faced_spider_monkey;Nonape;Atelidae;7951,7190580;20839,458980;69996,351560;2,537185;1786,841919;73;13,4993;4,9130900;NA;NA;NA;NA;8,280;11,36019075391935;NA;960,352543236715;8453,66564734300;NA;NA;NA
Daubentonia_madagascariensis;Aye-aye;AyeAyeDaubentoni_cb56;Aye_aye;Nonape;Lemuriformes;3032,4423090;6000,070312;17151,126950;1,865565;516,742065;26;18,0997;2,5615200;374,00;NA;NA;374,00;2,555;17,68071752859365;12,3332931640613;1186,865874363992;6712,76984344423;146,3796477495108;2658,442309;14,0683887979756
Colobus_polykomos;King colobus;ColobeColobusPol_6118;King_colobus;Nonape;Colobinae;5787,0854260;15191,202150;40468,386720;2,665001;1167,545654;43;14,2539;5,8843000;842,00;836,0949148;NA;842,00;9,100;14,30026224183517;14,5496383415578;635,943453406593;4447,07546373626;92,5274725274725;4945,085426;17,0270061579316
Aotus_trivirgatus;Douroucouli,Owl monkey,Northern night monkey;DouroucouliAotus_091c;Three-striped_night_monkey;Nonape;Cebidae;1626,5000000;4439,394531;11745,668950;1,776592;282,900482;10;26,0664;2,6592300;216,50;NA;NA;216,50;0,989;13,84765743802102;13,3107900399631;1644,590495449949;11876,30834175935;218,9079878665318;1410,000000;15,3546099290780
Galago_demidoff;Demidoff's galago;GalagoDemidoviiG_6cf3;Prince_Demidoffs_bushbaby;Nonape;Galagonidae;320,5625000;1238,425049;1925,203247;1,654758;80,023254;6;27,3770;1,7873100;NA;NA;NA;NA;0,075;16,65083935940401;NA;4274,166666666667;25669,37662666667;NA;NA;NA
Semnopithecus_entellus;Hanuman langur;LangurIndienPith_8390;Northern_plains_gray_langur;Nonape;Colobinae;6748,5625000;17509,910160;49915,832030;2,670797;1337,516724;50;14,0077;6,0875200;NA;NA;NA;NA;14,742;13,51988382352123;NA;457,777947361281;3385,96065866232;NA;NA;NA
Eulemur_mongoz;Mongoose lemur;LemurMongosLemur_b941;Mongoose_lemur;Nonape;Lemuriformes;3223,5573840;5561,826172;14495,492190;1,934541;435,897858;25;19,3514;3,0837800;NA;NA;NA;NA;1,212;22,23834376747714;NA;2659,700811881188;11959,97705445545;NA;NA;NA
Lepilemur_ruficaudatus;Red-tailed sportive lemur;LepilemurAQueueR_309f;Red-tailed_sportive_lemur;Nonape;Lemuriformes;882,2812500;1934,241211;4087,298828;1,564596;108,905891;7;33,6610;0,9301440;NA;NA;NA;NA;0,805;21,58592476664395;NA;1096,001552795031;5077,38984844720;NA;NA;NA
Lemur_catta;Ring-tailed lemur;MakiCattaLemurCa_dec8;Ring-tailed_lemur;Nonape;Lemuriformes;2035,2187500;4706,082031;12657,725590;1,791726;392,268616;23;19,3308;2,3316800;NA;NA;NA;NA;2,210;16,07886610852021;NA;920,913461538462;5727,47764253394;NA;NA;NA
Cercocebus_atys;Sooty mangabey;MangabeyCouronne_6b65;Cercocebus_lunulatus;Nonape;Papionini;5362,4314410;20510,472660;51689,042970;3,056511;1740,586426;74;11,2411;6,1631200;NA;NA;NA;NA;8,600;10,37440651418584;NA;623,538539651163;6010,35383372093;NA;NA;NA
Saguinus_oedipus;Cotton-top tamarin;MarsousetOedipom_e834;Cotton-top_tamarin;Nonape;Cebidae;750,0500112;2791,364258;6254,427246;1,700359;161,926056;9;30,1355;2,1707500;NA;NA;NA;NA;0,431;11,99230531748038;NA;1740,255246403712;14511,43212529002;NA;NA;NA
Mirza_coquereli;Coquerel's mouse lemur;MicrocebeDeCoque_e3a9;Coquerels_giant_mouse_lemur;Nonape;Lemuriformes;883,8630399;1924,307861;3884,830322;1,610185;105,562752;7;33,3320;1,5630600;NA;NA;NA;NA;0,312;22,75165107970448;NA;2832,894358653846;12451,37923717949;NA;NA;NA
Microcebus_murinus;Grey mouse lemur;MicrocebeMignonM_ca6c;Gray_mouse_lemur;Nonape;Lemuriformes;169,8906250;626,764221;809,311829;1,492369;43,904423;9;28,7162;-0,0824343;NA;NA;NA;NA;0,065;20,99198589620516;NA;2613,701923076923;12450,95121538462;NA;NA;NA
Cercopithecus_cephus_cephus;Moustached guenon;MoustacLasiopygi_23cc;Moustached_guenon;Nonape;Cercopithecini;3697,2968750;17318,617190;41537,898440;2,985837;1471,991455;54;11,6691;5,9308700;NA;NA;NA;NA;3,585;8,90102054715313;NA;1031,324093444909;11586,58254951186;NA;NA;NA
Loris_tardigradus;Red slender loris;NycticebusTardig_08cb;Red_slender_loris;Nonape;Loridae;446,6562500;1607,093872;3071,111084;1,572872;130,460968;11;22,6798;0,9787010;NA;NA;NA;NA;0,193;14,54379987513340;NA;2314,281088082902;15912,49266321244;NA;NA;NA
Callithrix_penicillata;Black-pencilled marmoset;OuistitiAPinceau_b4aa;Black-tufted_marmoset;Nonape;Cebidae;484,8906250;2201,694824;3937,970947;1,825680;142,143051;7;25,5491;2,7147600;NA;NA;NA;NA;0,328;12,31320981099153;NA;1478,325076219512;12006,00898475610;NA;NA;NA
Trachypithecus_(Trachypithecus)_germaini;Indochinese lutung;PithecusGermaini_6a2c;Indochinese_lutung;Nonape;Colobinae;3756,0784480;14245,421880;37987,582030;2,606734;1112,627563;44;14,1525;5,7271300;NA;NA;NA;NA;NA;9,88764813994664;NA;NA;NA;NA;NA;NA
Saimiri_sciureus;Common squirrel monkey;SaimiriCassiquia_7176;Squirrel_monkey;Nonape;Cebidae;882,9375000;4907,956055;9391,615234;2,279938;395,946686;14;16,2881;4,2514400;103,00;NA;NA;103,00;0,799;9,40133808722854;11,6656048701069;1105,053191489362;11754,21180725907;128,9111389236546;779,937500;13,2061863931405
Saimiri_sciureus;Common squirrel monkey;SaimiriCassiquia_eb44;Squirrel_monkey;Nonape;Cebidae;957,0937500;4116,254883;7687,597168;2,185199;331,175873;17;16,7394;4,0595000;NA;NA;NA;NA;0,799;12,44984263722805;NA;1197,864518147685;9621,52336420526;NA;NA;NA
Lagothrix_lagotricha;Common woolly monkey;SingeLaineuxLago_0f84;Brown_woolly_monkey;Nonape;Atelidae;5595,2343750;17841,226560;49384,894530;2,740803;1522,773315;52;12,3321;5,5502100;873,75;782,7968750;NA;873,75;7,150;11,32984980174666;15,6159678297658;782,550262237762;6906,97825594406;122,2027972027972;4721,484375;18,5058327128320
Varecia_variegata_variegata;Black-and-white ruffed lemur;VariNoirEtBlancL_4d0e;Black-and-white_ruffed_lemur;Nonape;Lemuriformes;3376,9409010;4691,237793;16032,390630;1,525707;398,961639;26;22,5551;0,4810610;NA;NA;NA;NA;3,575;21,06323990560103;NA;944,598853426573;4484,58479160839;NA;NA;NA
