              x            y                                               species
1  -0.004803708  0.066754534 Douroucouli,Owl\xcamonkey,Northern\xcanight\xcamonkey
2   0.918030337  0.606535027                                   Black spider monkey
3  -0.484126156 -0.589791124                           Black-pencilled\xcamarmoset
4   0.467756051  0.941991358                                    Tufted\xcacapuchin
5   0.456517858  0.952052072                                White-faced\xcasapajou
6   0.934498451 -0.443681110                                     Sooty\xcamangabey
7   0.554489160  0.568641001                                  Moustached\xcaguenon
8   0.634678752  0.862652276                                       Green\xcamonkey
9   0.959041392 -1.118534272                                       King\xcacolobus
10  0.407390904 -0.462199719                                               Aye-aye
11  0.083502620  0.399543570                                     Mongoose\xcalemur
12 -1.124938737  0.697169643                                  Demidoff's\xcagalago
13  2.113943352 -1.300318911                         Eastern\xcalowland\xcagorilla
14  2.082605873 -1.327555295                         Western\xcalowland\xcagorilla
15  1.812913357  2.643229605                                                 Human
16  0.747800091  1.114739938                                      Common\xcagibbon
17  0.854306042 -0.243428184                            Common\xcawoolly\xcamonkey
18  0.344392274 -1.148089065                                  Ring-tailed\xcalemur
19 -0.094204120 -1.427213654                       Red-tailed\xcasportive\xcalemur
20  0.841984805 -0.249843299                              Grey-cheeked\xcamangabey
21 -0.714442691 -0.006234601                               Red\xcaslender\xcaloris
22  0.628491105  1.063498200                                Crab-eating\xcamacaque
23  0.832061615  1.187963691                                      Rhesus\xcamonkey
24 -1.187086643 -1.148411294                                Grey\xcamouse\xcalemur
25 -0.505845406 -0.182904269                          Coquerel's\xcamouse\xcalemur
26  1.592176757  0.793260480                                   Pygmy\xcachimpanzee
27  1.722222464  0.137044478                                 Central\xcachimpanzee
28  1.150756440 -0.106021289                                   Hamadryas\xcababoon
29  1.767467555 -0.903876951                                  Bornean\xcaorangutan
30 -0.365522730  0.150224092                                 Cotton-top\xcatamarin
31 -0.097453221  1.266275880                          Common\xcasquirrel\xcamonkey
32  1.168556407 -1.233467215                                     Hanuman\xcalangur
33  0.553276046 -1.560005596                    Black-and-white\xcaruffed\xcalemur
