;34primates;Stephan1981;Difference;Ratio;Outlier;Maseko2012;;Difference;Ratio;Outlier;Rilling1998;Difference;Ratio;Outlier;Navarette2018;Difference;Ratio;Outlier;Smaers2011;Difference;Ratio;Outlier;OutlierAny;
Aotus_trivirgatus;1626,5;1873;-246,5;0,868392952;No;2420;;-793,5;0,672107438;No;;1626,5;#DIV/0!;;;1626,5;#DIV/0!;;1750;-123,50;0,929428571;No;No;
Ateles_paniscus;8903,134039;;8903,134039;#DIV/0!;;;;8903,134039;#DIV/0!;;;8903,134039;#DIV/0!;;;8903,134039;#DIV/0!;;10730;-1826,87;0,829742222;No;No;
Callithrix_penicillata;484,890625;;484,890625;#DIV/0!;;;;484,890625;#DIV/0!;;;484,890625;#DIV/0!;;727;-242,109375;0,666974725;No;;484,89;#DIV/0!;;No;
Cebus_apella;5190,542172;;5190,542172;#DIV/0!;;;;5190,542172;#DIV/0!;;6500;-1309,457828;0,79854495;No;5931;-740,457828;0,87515464;No;6450;-1259,46;0,80473522;No;No;
Cebus_capucinus;4274,464092;;4274,464092;#DIV/0!;;;;4274,464092;#DIV/0!;;;4274,464092;#DIV/0!;;;4274,464092;#DIV/0!;;;4274,46;#DIV/0!;;;
Cercocebus_atys;5362,431441;;5362,431441;#DIV/0!;;;;5362,431441;#DIV/0!;;9200;-3837,568559;0,582872983;No;;5362,431441;#DIV/0!;;;5362,43;#DIV/0!;;No;
Cercopithecus_cephus_cephus;3697,296875;;3697,296875;#DIV/0!;;;;3697,296875;#DIV/0!;;;3697,296875;#DIV/0!;;;3697,296875;#DIV/0!;;;3697,30;#DIV/0!;;;
Chlorocebus_sabaeus;4169,016497;;4169,016497;#DIV/0!;;;;4169,016497;#DIV/0!;;;4169,016497;#DIV/0!;;;4169,016497;#DIV/0!;;;4169,02;#DIV/0!;;;
Colobus_polykomos;5787,085426;;5787,085426;#DIV/0!;;;;5787,085426;#DIV/0!;;;5787,085426;#DIV/0!;;;5787,085426;#DIV/0!;;;5787,09;#DIV/0!;;;
Daubentonia_madagascariensis;3032,442309;6461;-3428,557691;0,46934566;Yes;;;3032,442309;#DIV/0!;;;3032,442309;#DIV/0!;;;3032,442309;#DIV/0!;;;3032,44;#DIV/0!;;Yes;
Eulemur_mongoz;3223,557384;;3223,557384;#DIV/0!;;1510;*;1713,557384;2,134806215;Yes;;3223,557384;#DIV/0!;;;3223,557384;#DIV/0!;;;3223,56;#DIV/0!;;Yes;
Galago_demidoff;320,5625;413;-92,4375;0,776180387;No;;;320,5625;#DIV/0!;;;320,5625;#DIV/0!;;;320,5625;#DIV/0!;;;320,56;#DIV/0!;;No;
Gorilla_beringei_graueri;46163,14813;;46163,14813;#DIV/0!;;;;46163,14813;#DIV/0!;;;46163,14813;#DIV/0!;;;46163,14813;#DIV/0!;;;46163,15;#DIV/0!;;;
Gorilla_gorilla_gorilla;58402,16907;69249;-10846,83093;0,843364801;No;58680;;-277,83093;0,995265322;No;64700;-6297,83093;0,902661037;No;60476;-2073,83093;0,965708199;No;59380;-977,83;0,983532655;No;No;
Homo_sapiens;142171;137421;4750;1,034565314;No;139070;;3101;1,022298123;No;134100;8071;1,060186428;No;;142171;#DIV/0!;;139160;3011,00;1,021636965;No;No;
Hylobates_lar;8681,290628;12078;-3396,709372;0,718768888;No;11990;;-3308,709372;0,724044256;No;10900;-2218,709372;0,796448681;No;;8681,290628;#DIV/0!;;12190;-3508,71;0,712164941;No;No;
Lagothrix_lagotricha;5595,234375;11268;-5672,765625;0,496559671;Yes;11990;;-6394,765625;0,466658413;Yes;;5595,234375;#DIV/0!;;9708;-4112,765625;0,576352943;;;5595,23;#DIV/0!;;Yes;
Lemur_catta;2035,21875;;2035,21875;#DIV/0!;;;;2035,21875;#DIV/0!;;;2035,21875;#DIV/0!;;;2035,21875;#DIV/0!;;;2035,22;#DIV/0!;;;
Lepilemur_ruficaudatus;882,28125;1165;-282,71875;0,757322961;No;;;882,28125;#DIV/0!;;;882,28125;#DIV/0!;;;882,28125;#DIV/0!;;;882,28;#DIV/0!;;No;
Lophocebus_albigena;6320,457753;;6320,457753;#DIV/0!;;;;6320,457753;#DIV/0!;;;6320,457753;#DIV/0!;;8126;-1805,542247;0,777806763;No;11700;-5379,54;0,540210064;No;No;
Loris_tardigradus;446,65625;728;-281,34375;0,613538805;No;;;446,65625;#DIV/0!;;;446,65625;#DIV/0!;;;446,65625;#DIV/0!;;;446,66;#DIV/0!;;No;
Macaca_fascicularis;6184,336416;;6184,336416;#DIV/0!;;;;6184,336416;#DIV/0!;;;6184,336416;#DIV/0!;;2851;3333,336416;2,169181486;Yes;;6184,34;#DIV/0!;;No*;*We speculate that our measurement is more accurate, since we were able to measure multiple individuals.
Macaca_mulatta;10455,81156;8965;1490,81156;1,166292422;No;7470;;2985,81156;1,399707036;No;7100;3355,81156;1,472649515;No;7678;2777,81156;1,361788429;No;8090;2365,81;1,292436534;No;No;
Microcebus_murinus;169,890625;234;-64,109375;0,726028312;No;;;169,890625;#DIV/0!;;;169,890625;#DIV/0!;;257;-87,109375;0,661053016;No;;169,89;#DIV/0!;;No;
Mirza_coquereli;883,8630399;;883,8630399;#DIV/0!;;;;883,8630399;#DIV/0!;;;883,8630399;#DIV/0!;;;883,8630399;#DIV/0!;;;883,86;#DIV/0!;;;
Pan_paniscus;48408,37839;;48408,37839;#DIV/0!;;52000;;-3591,62161;0,930930354;No;41300;7108,37839;1,1721157;No;38572;9836,37839;1,25501344;No;47300;1108,38;1,023432947;No;No;
Pan_troglodytes_troglodytes;57047;;57047;#DIV/0!;No;41390;;15657;1,378279778;No;46400;10647;1,229461207;No;44831;12216;1,272490018;No;46280;10767,00;1,232649092;No;No;
Papio_hamadryas;9478,298207;;9478,298207;#DIV/0!;;;;9478,298207;#DIV/0!;;;9478,298207;#DIV/0!;;14639;-5160,701793;0,647468967;No;;9478,30;#DIV/0!;;No;
Pongo_pygmaeus;25757,33234;;25757,33234;#DIV/0!;;64790;;-39032,66766;0,397551047;Yes;46000;-20242,66766;0,559942007;No;37798;-12040,66766;0,681446964;No;45010;-19252,67;0,572257995;No;Yes;
Saguinus_oedipus;750,0500112;984;-233,9499888;0,762245946;;;;750,0500112;#DIV/0!;;;750,0500112;#DIV/0!;;874;-123,9499888;0,858180791;No;;750,05;#DIV/0!;;No;
Saimiri_sciureus;920,015625;2260;-1339,984375;0,40708656;Yes;2140;;-1219,984375;0,429913843;Yes;2000;-1079,984375;0,460007813;Yes;1672;-751,984375;0,55024858;No;2000;-1079,98;0,460007813;Yes;Yes;
