WilsonReederName;Hominoidea;Clade;MedianCerebellum;MedianCerebrum;MedianCrus;MedianROC;MedianCerebroCerebellar;MedianCerebellarCrus;MedianROCCrus;BrainVol
Aotus_trivirgatus;Nonape;Cebidae;3,211254068;4,069877756;2,335457901;3,149219113;13,84765744;13,31079004;15,35460993;4,161068385
Ateles_paniscus;Nonape;Atelidae;3,949542912;4,888634338;NA;NA;11,50558152;NA;NA;4,982509943
Callithrix_penicillata;Nonape;Cebidae;2,685643787;3,595272508;NA;NA;12,31320981;NA;NA;3,664641976
Cebus_apella;Nonape;Cebidae;3,715212724;4,559721096;3,005180513;3,62102479;14,30512404;19,49699986;24,21897299;4,692767629
Cebus_capucinus;Nonape;Cebidae;3,630881673;4,602610441;NA;NA;10,67262455;NA;NA;4,68584918
Cercocebus_atys;Nonape;Papionini;3,729361753;4,713398491;NA;NA;10,37440651;NA;NA;4,800607116
Cercopithecus_cephus_cephus;Nonape;Cercopithecini;3,567884324;4,61844452;NA;NA;8,901020547;NA;NA;4,691320244
Chlorocebus_sabaeus;Nonape;Cercopithecini;3,620033614;4,729383882;2,703291378;3,56395742;7,774092999;12,11316867;13,78268904;4,808528304
Colobus_polykomos;Nonape;Colobinae;3,762459893;4,607115892;2,925312091;3,694173798;14,30026224;14,54963834;17,02700616;4,694631519
Daubentonia_madagascariensis;Nonape;Lemuriformes;3,481792547;4,234292662;2,572871602;3,42462724;17,68071753;12,33329316;14,0683888;4,385159239
Eulemur_mongoz;Nonape;Lemuriformes;3,508335406;4,161232966;NA;NA;22,23834377;NA;NA;4,291812687
Galago_demidoff;Nonape;Galagonidae;2,505912716;3,284476585;NA;NA;16,65083936;NA;NA;3,402433346
Gorilla_beringei_graueri;Ape;Hominoidea;4,664295418;5,436016118;NA;NA;16,91528426;NA;NA;5,563645991
Gorilla_gorilla_gorilla;Ape;Hominoidea;4,766428977;5,376010311;4,117503299;4,656051885;24,57076431;22,44265959;28,93686075;5,534099752
Homo_sapiens;Ape;Hominoidea;5,152811018;6,002473389;4,64073975;5,005611589;14,13636105;30,75592069;43,16464381;NA
Hylobates_lar;Ape;Hominoidea;3,938584296;4,783084627;NA;NA;14,30538889;NA;NA;4,943702215
Lagothrix_lagotricha;Nonape;Atelidae;3,747818283;4,693594131;2,941387189;3,674078557;11,3298498;15,61596783;18,50583271;4,775064051
Lemur_catta;Nonape;Lemuriformes;3,308611095;4,102355676;NA;NA;16,07886611;NA;NA;4,20871002
Lepilemur_ruficaudatus;Nonape;Lemuriformes;2,94560705;3,611436391;NA;NA;21,58592477;NA;NA;3,814114356
Lophocebus_albigena;Nonape;Papionini;3,800748533;4,691832262;NA;NA;12,85038889;NA;NA;4,764243402
Loris_tardigradus;Nonape;Loridae;2,649973415;3,487295525;NA;NA;14,54379988;NA;NA;3,592842683
Macaca_fascicularis;Nonape;Papionini;3,821939099;4,665989708;NA;NA;14,32021012;NA;NA;4,840941007
Macaca_mulatta;Nonape;Papionini;4,027436202;4,89032315;NA;NA;13,7123867;NA;NA;5,023145417
Microcebus_murinus;Nonape;Lemuriformes;2,230169414;2,908115888;NA;NA;20,9919859;NA;NA;3,011570444
Mirza_coquereli;Nonape;Lemuriformes;2,946384974;3,589372055;NA;NA;22,75165108;NA;NA;3,723127159
Pan_paniscus;Ape;Hominoidea;4,684920535;5,385669911;3,821316971;4,620982763;19,91822454;13,68977896;15,86113301;5,544086657
Pan_troglodytes_troglodytes;Ape;Hominoidea;4,756232811;5,454054411;4,191562788;4,602635051;20,05295595;27,24770803;38,80857863;NA
Papio_hamadryas;Nonape;Papionini;3,976730368;4,953572116;3,265053789;3,882939748;10,54771175;19,42331798;24,10538321;5,032268122
Pongo_pygmaeus;Ape;Hominoidea;4,410900882;5,265898194;3,783975003;4,293944149;13,96377001;23,60881135;30,90514988;5,366348233
Saguinus_oedipus;Nonape;Cebidae;2,875090222;3,796187545;NA;NA;11,99230532;NA;NA;3,894592948
Saimiri_sciureus;Nonape;Cebidae;2,963795203;3,931437844;2,012837225;2,892059802;10,77351348;11,19546203;13,20618639;4,311114489
Semnopithecus_entellus;Nonape;Colobinae;3,829211274;4,698238315;NA;NA;13,51988382;NA;NA;4,837083151
Trachypithecus_(Trachypithecus)_germaini;Nonape;Colobinae;3,574734654;4,579641651;NA;NA;9,88764814;NA;NA;4,66118776
Varecia_variegata_variegata;Nonape;Lemuriformes;3,52852346;4,204998286;NA;NA;21,06323991;NA;NA;4,295589089
