WilsonReederName;English Name;SpecimenID;Wikipedia Name;Hominoidea;Clade;CerebellarVol;SurfaceArea;CerebralVol;AbsGI;FoldingLength;FoldingNumber;Lambda;Delta;CrusVol_obs1;CrusVol_obs2;CrusVol_obs3;CrusVol_1_3;BodyMass;CerebroCerebellar;CerebellarCrus;CerebellarMass;CerebralMass;CrusMass;ROC;ROCCrus;BrainVol;MedianBrainVol;Sex;Age
Cebus_apella;Tufted capuchin;ApelleCebusApell_f4b9;Tufted_capuchin;Nonape;Cebidae;3,715212724;4,144775669;4,559721096;2,633161;3,024484164;1,568201724;14,9051;5,73887;3,005180513;NA;NA;3,005180513;0,467756051;14,30512404;19,49699986;3,247456673;4,091965045;2,537424461;3,62102479;24,21897299;4,692767629;4,692767629;NA;NA
Ateles_paniscus;Black spider monkey;Atele_6717;Red-faced_spider_monkey;Nonape;Atelidae;3,993636754;4,399108215;4,928219889;2,686236;3,284338575;1,929418926;14,1146;5,96747;NA;NA;NA;NA;0,918030337;11,62563987;NA;3,075606417;4,010189552;NA;NA;NA;5,017037515;4,982509943;NA;NA
Ateles_paniscus;Black spider monkey;AteleAtelesAter_7245;Red-faced_spider_monkey;Nonape;Atelidae;3,900461028;4,31888644;4,845075404;2,537185;3,252086132;1,86332286;13,4993;4,91309;NA;NA;NA;NA;0,918030337;11,36019075;NA;2,982430691;3,927045067;NA;NA;NA;4,94798237;4,982509943;NA;NA
Daubentonia_madagascariensis;Aye-aye;AyeAyeDaubentoni_cb56;Aye_aye;Nonape;Lemuriformes;3,481792547;3,77815634;4,234292662;1,865565;2,713273816;1,414973348;18,0997;2,56152;2,572871602;NA;NA;2,572871602;0,407390904;17,68071753;12,33329316;3,074401643;3,826901757;2,165480698;3,42462724;14,0683888;4,385159239;4,385159239;NA;NA
Colobus_polykomos;King colobus;ColobeColobusPol_6118;King_colobus;Nonape;Colobinae;3,762459893;4,181592143;4,607115892;2,665001;3,067273872;1,633468456;14,2539;5,8843;2,925312091;2,922255582;NA;2,925312091;0,959041392;14,30026224;14,54963834;2,803418501;3,648074499;1,966270699;3,694173798;17,02700616;4,694631519;4,694631519;NA;NA
Aotus_trivirgatus;Douroucouli,Owl monkey,Northern night monkey;DouroucouliAotus_091c;Three-striped_night_monkey;Nonape;Cebidae;3,211254068;3,647323743;4,069877756;1,776592;2,451633687;1;26,0664;2,65923;2,335457901;NA;NA;2,335457901;-0,004803708;13,84765744;13,31079004;3,216057776;4,074681465;2,340261609;3,149219113;15,35460993;4,161068385;4,161068385;NA;NA
Galago_demidoff;Demidoff's galago;GalagoDemidoviiG_6cf3;Prince_Demidoffs_bushbaby;Nonape;Galagonidae;2,505912716;3,092869728;3,284476585;1,654758;1,903216207;0,77815125;27,377;1,78731;NA;NA;NA;NA;-1,124938737;16,65083936;NA;3,630851453;4,409415322;NA;NA;NA;3,402433346;3,402433346;NA;NA
Semnopithecus_entellus;Hanuman langur;LangurIndienPith_8390;Northern_plains_gray_langur;Nonape;Colobinae;3,829211274;4,243283918;4,698238315;2,670797;3,126299221;1,698970004;14,0077;6,08752;NA;NA;NA;NA;1,168556407;13,51988382;NA;2,660654867;3,529681908;NA;NA;NA;4,837083151;4,837083151;NA;NA
Eulemur_mongoz;Mongoose lemur;LemurMongosLemur_b941;Mongoose_lemur;Nonape;Lemuriformes;3,508335406;3,745217411;4,161232966;1,934541;2,639384735;1,397940009;19,3514;3,08378;NA;NA;NA;NA;0,08350262;22,23834377;NA;3,424832786;4,077730346;NA;NA;NA;4,291812687;4,291812687;NA;NA
Lepilemur_ruficaudatus;Red-tailed sportive lemur;LepilemurAQueueR_309f;Red-tailed_sportive_lemur;Nonape;Lemuriformes;2,94560705;3,286510632;3,611436391;1,564596;2,037051372;0,84509804;33,661;0,930144;NA;NA;NA;NA;-0,09420412;21,58592477;NA;3,039811169;3,70564051;NA;NA;NA;3,814114356;3,814114356;NA;NA
Lemur_catta;Ring-tailed lemur;MakiCattaLemurCa_dec8;Ring-tailed_lemur;Nonape;Lemuriformes;3,308611095;3,672659493;4,102355676;1,791726;2,593583563;1,361727836;19,3308;2,33168;NA;NA;NA;NA;0,344392274;16,07886611;NA;2,964218821;3,757963403;NA;NA;NA;4,20871002;4,20871002;NA;NA
Cercocebus_atys;Sooty mangabey;MangabeyCouronne_6b65;Cercocebus_lunulatus;Nonape;Papionini;3,729361753;4,311975669;4,713398491;3,056511;3,240695592;1,86923172;11,2411;6,16312;NA;NA;NA;NA;0,934498451;10,37440651;NA;2,794863302;3,77890004;NA;NA;NA;4,800607116;4,800607116;NA;NA
Saguinus_oedipus;Cotton-top tamarin;MarsousetOedipom_e834;Cotton-top_tamarin;Nonape;Cebidae;2,875090222;3,445816513;3,796187545;1,700359;2,209316738;0,954242509;30,1355;2,17075;NA;NA;NA;NA;-0,36552273;11,99230532;NA;3,240612952;4,161710275;NA;NA;NA;3,894592948;3,894592948;NA;NA
Mirza_coquereli;Coquerel's mouse lemur;MicrocebeDeCoque_e3a9;Coquerels_giant_mouse_lemur;Nonape;Lemuriformes;2,946384974;3,284274554;3,589372055;1,610185;2,023510704;0,84509804;33,332;1,56306;NA;NA;NA;NA;-0,505845406;22,75165108;NA;3,45223038;4,095217461;NA;NA;NA;3,723127159;3,723127159;NA;NA
Microcebus_murinus;Grey mouse lemur;MicrocebeMignonM_ca6c;Gray_mouse_lemur;Nonape;Lemuriformes;2,230169414;2,797104197;2,908115888;1,492369;1,642508274;0,954242509;28,7162;0;NA;NA;NA;NA;-1,187086643;20,9919859;NA;3,417256057;4,095202531;NA;NA;NA;3,011570444;3,011570444;NA;NA
Cercopithecus_cephus_cephus;Moustached guenon;MoustacLasiopygi_23cc;Moustached_guenon;Nonape;Cercopithecini;3,567884324;4,238513213;4,61844452;2,985837;3,167905289;1,73239376;11,6691;5,93087;NA;NA;NA;NA;0,55448916;8,901020547;NA;3,013395164;4,06395536;NA;NA;NA;4,691320244;4,691320244;NA;NA
Loris_tardigradus;Red slender loris;NycticebusTardig_08cb;Red_slender_loris;Nonape;Loridae;2,649973415;3,206041245;3,487295525;1,572872;2,115480597;1,041392685;22,6798;0,978701;NA;NA;NA;NA;-0,714442691;14,54379988;NA;3,364416106;4,201738216;NA;NA;NA;3,592842683;3,592842683;NA;NA
Callithrix_penicillata;Black-pencilled marmoset;OuistitiAPinceau_b4aa;Black-tufted_marmoset;Nonape;Cebidae;2,685643787;3,342757121;3,595272508;1,82568;2,152725633;0,84509804;25,5491;2,71476;NA;NA;NA;NA;-0,484126156;12,31320981;NA;3,169769944;4,079398664;NA;NA;NA;3,664641976;3,664641976;NA;NA
Trachypithecus_(Trachypithecus)_germaini;Indochinese lutung;PithecusGermaini_6a2c;Indochinese_lutung;Nonape;Colobinae;3,574734654;4,153675315;4,579641651;2,606734;3,046349814;1,643452676;14,1525;5,72713;NA;NA;NA;NA;NA;9,88764814;NA;NA;NA;NA;NA;NA;4,66118776;4,66118776;NA;NA
Saimiri_sciureus;Common squirrel monkey;SaimiriCassiquia_7176;Squirrel_monkey;Nonape;Cebidae;2,945929963;3,690900665;3,972740292;2,279938;2,597636712;1,146128036;16,2881;4,25144;2,012837225;NA;NA;2,012837225;-0,097453221;9,401338087;11,66560487;3,043383183;4,070193512;2,110290445;2,892059802;13,20618639;4,66118776;4,311114489;NA;NA
Saimiri_sciureus;Common squirrel monkey;SaimiriCassiquia_eb44;Squirrel_monkey;Nonape;Cebidae;2,98095448;3,614502259;3,885790618;2,185199;2,52005869;1,230448921;16,7394;4,0595;NA;NA;NA;NA;-0,097453221;12,44984264;NA;3,078407701;3,983243839;NA;NA;NA;3,961041217;4,311114489;NA;NA
Lagothrix_lagotricha;Common woolly monkey;SingeLaineuxLago_0f84;Brown_woolly_monkey;Nonape;Atelidae;3,747818283;4,251424708;4,693594131;2,740803;3,182635258;1,716003344;12,3321;5,55021;2,941387189;2,893649083;NA;2,941387189;0,854306042;11,3298498;15,61596783;2,893512241;3,839288089;2,087081147;3,674078557;18,50583271;4,775064051;4,775064051;NA;NA
Varecia_variegata_variegata;Black-and-white ruffed lemur;VariNoirEtBlancL_4d0e;Black-and-white_ruffed_lemur;Nonape;Lemuriformes;3,52852346;3,671287447;4,204998286;1,525707;2,600931139;1,414973348;22,5551;0,481061;NA;NA;NA;NA;0,553276046;21,06323991;NA;2,975247414;3,65172224;NA;NA;NA;4,295589089;4,295589089;NA;NA
Chlorocebus_sabaeus;Green monkey;VervetCercopithe_72ae;Green_monkey;Nonape;Cercopithecini;3,620033614;4,255958512;4,729383882;2,621512;3,170585162;1,812913357;13,6511;5,34676;2,703291378;2,730914694;NA;2,703291378;0,634678752;7,774092999;12,11316867;2,985354861;4,09470513;2,068612626;3,56395742;13,78268904;4,808528304;4,808528304;NA;NA
Papio_hamadryas;Hamadryas baboon;BabouinCercopith_a723;Hamadryas_baboon;Nonape;Papionini;3,976730368;4,479094164;4,953572116;3,106194;3,398541963;1,949390007;11,337;6,36946;3,265053789;NA;NA;3,265053789;1,15075644;10,54771175;19,42331798;2,825973929;3,802815676;2,114297349;3,882939748;24,10538321;5,032268122;5,032268122;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicular_3a21;Crab-eating_macaque;Nonape;Papionini;3,758319276;4,355170993;4,761504984;3,135813;3,248052122;1,812913357;11,906;6,84429;NA;NA;NA;NA;0,628491105;9,926914743;NA;3,129828171;4,133013879;NA;NA;NA;4,842297134;4,840941007;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32200;Crab-eating_macaque;Nonape;Papionini;3,750942087;4,201675325;4,665989708;2,549948;3,087322453;1,556302501;15,009;5,50774;NA;NA;NA;NA;0,628491105;12,1605265;NA;3,122450982;4,037498603;NA;NA;NA;4,821592127;4,840941007;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32202;Crab-eating_macaque;Nonape;Papionini;3,886060448;4,291690157;4,756081358;2,732028;3,167378928;1,698970004;14,4063;6,11093;NA;NA;NA;NA;0,628491105;13,48897934;NA;3,257569343;4,127590253;NA;NA;NA;4,896840251;4,840941007;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32204;Crab-eating_macaque;Nonape;Papionini;3,821939099;4,230391587;4,66491582;2,728749;3,119410595;1,633468456;14,0615;5,88087;NA;NA;NA;NA;0,628491105;14,35566379;NA;3,193447994;4,036424715;NA;NA;NA;4,839584879;4,840941007;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_32205;Crab-eating_macaque;Nonape;Papionini;3,862653029;4,290016254;4,750616889;2,744443;3,167608384;1,707570176;14,1183;6,19673;NA;NA;NA;NA;0,628491105;12,94303543;NA;3,234161924;4,122125784;NA;NA;NA;4,929004871;4,840941007;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_mf01;Crab-eating_macaque;Nonape;Papionini;3,831221713;4,221996961;4,651947789;2,730325;3,112561802;1,662757832;13,7055;6,01302;NA;NA;NA;NA;0,628491105;15,1103291;NA;3,202730608;4,023456684;NA;NA;NA;4,80902072;4,840941007;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacacaFascicularis_mf02;Crab-eating_macaque;Nonape;Papionini;3,73972067;4,195295908;4,637168573;2,626431;3,089314914;1,643452676;14,205;5,66135;NA;NA;NA;NA;0,628491105;12,66345166;NA;3,111229565;4,008677468;NA;NA;NA;4,782092629;4,840941007;NA;NA
Macaca_fascicularis;Crab-eating macaque;MacaqueCrabierMa_8f9e;Crab-eating_macaque;Nonape;Papionini;3,549987436;4,069344869;4,441803966;2,652516;3,018957269;1,698970004;12,3407;5,05986;2,843855423;NA;NA;2,843855423;0,628491105;12,82872426;19,67288197;2,921496331;3,813312861;2,215364318;3,454849622;24,49095953;4,441160774;4,840941007;NA;NA
Gorilla_beringei_graueri;Eastern lowland gorilla;GorillaBeringeiG_0854;Eastern gorilla;Ape;Hominoidea;4,664295418;4,746685303;5,436016118;2,742777;3,643827423;2,079181246;14,2611;5,54184;NA;NA;NA;NA;2,113943352;16,91528426;NA;2,550352066;3,322072765;NA;NA;NA;5,563645991;5,563645991;NA;NA
Gorilla_gorilla_gorilla;Western lowland gorilla;Gorilla_kinyani;Western lowland gorilla;Ape;Hominoidea;4,766428977;4,753652647;5,376010311;3,056058;3,656517995;2,029383778;12,1509;6,43102;4,117503299;NA;NA;4,117503299;2,082605873;24,57076431;22,44265959;2,683823105;3,293404438;2,034897427;4,656051885;28,93686075;5,534099752;5,534099752;NA;NA
Lophocebus_albigena;Grey-cheeked mangabey;MangabeyCercoceb_4458;Grey-cheeked_mangabey;Nonape;Papionini;3,800748533;4,295110963;4,691832262;3,039056;3,235164498;1,763427994;10,9729;5,99367;NA;NA;NA;NA;0,841984805;12,85038889;NA;2,958763728;3,849847457;NA;NA;NA;4,764243402;4,764243402;NA;NA
Cebus_capucinus;White-faced sapajou;SapajouCapucinCe_d971;White-headed_capuchin;Nonape;Cebidae;3,630881673;4,150108994;4,602610441;2,495847;3,034471833;1,602059991;15,467;5,31732;NA;NA;NA;NA;0,456517858;10,67262455;NA;3,174363815;4,146092584;NA;NA;NA;4,68584918;4,68584918;NA;NA
Pongo_pygmaeus;Bornean orangutan;Orangutan_80bb;Orangutan;Ape;Hominoidea;4,410900882;4,643375056;5,265898194;2,807321;3,545884484;2,053078443;12,9615;6,03595;3,783975003;3,845026905;NA;3,783975003;1,767467555;13,96377001;23,60881135;2,643433326;3,498430639;2,016507448;4,293944149;30,90514988;5,366348233;5,366348233;NA;NA
Macaca_mulatta;Rhesus monkey;MacaqueRhesusMac_bdf8;Rhesus_macaque;Nonape;Papionini;3,559483939;4,078227211;4,443384505;2,700765;2,988028352;1,431363764;13,4616;5,57753;2,698970004;NA;NA;2,698970004;0,832061615;13,0646998;13,78751713;2,727422325;3,61132289;1,86690839;3,495054092;15,99248353;NA;5,023145417;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32198;Rhesus_macaque;Nonape;Papionini;4,034182077;4,415360165;4,89032315;2,955702;3,310497724;1,949390007;12,6009;6,43053;NA;NA;NA;NA;0,832061615;13,92704335;NA;3,202120463;4,058261535;NA;NA;NA;5,012377388;5,023145417;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32199;Rhesus_macaque;Nonape;Papionini;4,032084629;4,419812332;4,909693647;2,898672;3,302764078;1,832508913;13,2738;6,45635;NA;NA;NA;NA;0,832061615;13,25534337;NA;3,200023014;4,077632032;NA;NA;NA;5,023145417;5,023145417;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32201;Rhesus_macaque;Nonape;Papionini;4,027436202;4,391235436;4,860745154;2,925867;3,28577854;1,812913357;12,7726;6,36214;NA;NA;NA;NA;0,832061615;14,67881674;NA;3,195374588;4,028683539;NA;NA;NA;5,029655634;5,023145417;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_32203;Rhesus_macaque;Nonape;Papionini;4,01112617;4,391962423;4,870251288;2,888312;3,275988792;1,819543936;13,2848;6,41852;NA;NA;NA;NA;0,832061615;13,83167837;NA;3,179064555;4,038189674;NA;NA;NA;4,995670288;5,023145417;NA;NA
Macaca_mulatta;Rhesus monkey;MacacaMulatta_mm01;Rhesus_macaque;Nonape;Papionini;3,953602609;4,414177369;4,8970426;2,917415;3,315441262;1,832508913;12,6554;6,22496;NA;NA;NA;NA;0,832061615;11,39095166;NA;3,121540994;4,064980985;NA;NA;NA;5,035161474;5,023145417;NA;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Abby_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,759290033;4,87768537;5,499637345;3,363383;3,719794128;2,322219295;12,413;8,17787;NA;NA;4,240474363;4,240474363;1,722222464;18,18246196;30,28198433;3,037067569;3,777414882;2,518251899;4,602635051;43,43494869;5,56619936;5,524033734;F;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Amanda_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,701386631;4,859455793;5,484953859;3,298646;3,699100867;2,278753601;12,9958;7,96829;NA;NA;4,242392331;4,242392331;1,722222464;16,4601115;34,75407228;2,979164167;3,762731395;2,520169867;4,515940042;53,26627039;5,547638121;5,524033734;F;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Artemus_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,680290178;4,829827777;5,416455794;3,422734;3,663876976;2,281033367;12,6145;8,34658;NA;NA;4,153540486;4,153540486;1,722222464;18,3583812;29,73379267;2,958067714;3,69423333;2,431318022;4,52703669;42,31592084;5,477536531;5,524033734;M;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Arthur_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,767756781;4,823063828;5,449154679;3,204866;3,66931293;2,264817823;12,9881;7,75386;NA;NA;4,257846502;4,257846502;1,722222464;20,82581959;30,90933921;3,045534317;3,726932215;2,535624038;4,607176127;44,73736226;5,522540733;5,524033734;M;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Azalea_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,756232811;4,786982545;5,376838162;3,295639;3,632850138;2,257678575;12,7993;7,86075;NA;NA;4,191562788;4,191562788;1,722222464;23,95491578;27,24770803;3,034010347;3,654615698;2,469340324;4,61807949;37,45271426;5,460561096;5,524033734;F;NA
Pan_troglodytes_troglodytes;Central chimpanzee;Chimp_Barbara_Yerkes;Chimpanzee;Ape;Hominoidea_Chimp;4,771264028;4,82832954;5,454054411;3,219653;3,669635214;2,227886705;13,3086;7,75671;NA;NA;4,18110008;4,18110008;1,722222464;20,75915239;25,6942563;3,049041564;3,731831947;2,458877616;4,642286413;34,57909849;5,528894857;5,524033734;F;NA
